"Evaluation Overview, all Databases, Test Series SMALL"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"41561.66","40300.99","38294.44","41561.66"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"1.82"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"22.24","21.84","20.61","22.24"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"1.24"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"23.65","27.45","23.65","29.19"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"1.53"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"131.73","116.82","105.53","131.73"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"1.39"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"138.20","136.46","138.20","139.31"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"2.12"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"128.13","133.34","128.13","136.77"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"1.39"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"146.84","143.11","146.84","147.02"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"7.14"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"17287.27","16675.65","16243.25","17287.27"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"7.12"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"300090.78","299433.93","300090.78","300312.69"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"6.93"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"13460.39","13504.67","13460.39","13480.38"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"80.29"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"6.92","6.51","6.74","6.92"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"44.47"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"0.57","0.49","0.48","0.57"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"68.81"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"6.36","6.14","6.02","6.36"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"2.14"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"16271.80"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"191.79"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"489.95"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"5.32"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"91227.25"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"1.15"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"0.19"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"1.01"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"3837.52"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"1.45"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"328.60"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"Error"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"Error"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"883.94"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"11342.42"

"Evaluation Details for Fuseki, Version 2.3.0 2015-07-25T17:11:28+0000 / jena-libs 2.13.0, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"0.00"
Load,,"30703.51"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"3077.42"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"75.06","36.11","17.45","75.06"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"2130.68"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"55.45","37.88","28.46","55.45"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"2606.01"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"156.88","136.14","128.16","156.88"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.95"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"203.57","124.42","95.49","203.57"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.47"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"85.41","84.95","79.16","85.41"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"0.35"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"451.81","465.43","382.54","451.81"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.37"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"197.67","166.13","167.52","197.67"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.38"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"146.01","150.49","142.53","146.01"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.41"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"109.60","116.57","109.60","126.39"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"0.33"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"7284.51","6831.94","6717.91","7284.51"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"Error"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"Error","Error","Error","Error"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"0.39"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"523812.98","445636.42","423103.58","523812.98"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"19248.89"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"3951.68","3773.53","3708.64","3951.68"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"9187.53"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"7.70","7.42","7.15","7.70"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"11631.81"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"2089.17","1511.86","2089.17","2322.39"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"Error"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"Error"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"0.92"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"9060.41"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"Error"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"Error"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"Error"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"Error"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"Error"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"Error"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"14.75"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"170125.08"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.84"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"5.25"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"0.68"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"3.61"

"Evaluation Details for MongoDB, Version 3.0.6, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"3.68"
Load,,"31006.20"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"666.65"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"85.59","61.52","53.75","85.59"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"587.62"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"464.24","451.85","443.16","464.24"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"614.22"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"4670.32","4643.60","4670.32","4709.89"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"91.06","83.63","79.20","91.06"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"85.32","83.09","83.39","85.32"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"116.34","110.77","110.74","116.34"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"139.54","127.21","122.39","139.54"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"118.73","114.53","110.58","118.73"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"113.39","114.41","113.39","120.23"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"212.12","217.29","212.12","230.27"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"508.71","515.95","508.30","508.71"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"278.40","267.11","265.55","278.40"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"79.33"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"276.54","269.81","263.89","276.54"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"78.34"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"2985.14","3042.83","2947.35","2985.14"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"80.58"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"40148.83","41676.83","40148.83","40680.99"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"0.00"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"730.76"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"0.00"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"10512.26"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"0.00"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"2156.42"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"0.00"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"404.88"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.01"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"346.10"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"0.00"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"60.63"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.00"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"442.88"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"0.00"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"5.95"

"Evaluation Details for ArangoDB, Version 2.6.9 64bit -- ICU 54.1, V8 4.1.0.27, OpenSSL 1.0.2d 9 Jul 2015 / Java Driver 2.6.8, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"179.59"
Load,,"37685.51"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"1697.89"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"125.45","127.41","124.48","125.45"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"1659.46"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"1307.65","1283.15","1276.96","1307.65"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"1684.48"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"13171.69","12976.55","13084.39","13171.69"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"150.34","158.19","150.34","154.38"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"152.41","145.58","145.49","152.41"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"0.00"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"329.57","301.44","286.56","329.57"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"370.46","399.98","370.46","394.55"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"399.75","383.72","377.16","399.75"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.00"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"390.39","375.78","373.43","390.39"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"1437.42"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"155.27","152.86","153.46","155.27"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"3314.04","3203.18","3171.26","3314.04"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"798.11","747.21","716.55","798.11"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"18441.61"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"75.34","73.29","71.55","75.34"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"827.13"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"681.31","679.41","681.31","690.01"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"1601.05"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"6253.46","6267.49","6248.20","6253.46"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"0.00"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"7259.30"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"0.00"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"6907.28"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"0.00"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"28700.81"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"0.00"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"5876.80"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.00"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"6928.84"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"0.00"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"1073.74"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.00"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"1213.62"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"0.00"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"18.37"

Verify Results
QueryScenario,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","Fuseki","MongoDB","ArangoDB"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,"1294926456","1294926456","509637100","1753686278","540552862","-159165003","1626721260"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,"1452884332","1452884332","-598657886","-1171753639","-49330769","-1652113648","1788858812"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,"609168004","609168004","255699086","-1778285604","-1480252586","-969722710","-1412471864"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,"1498649034","1498649034","-1325535137","-783541825","-783541825","1619999076","-1327048523"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,"-842182735","-842182735","-1098779590","-49366805","-49366805","-720832693","213511918"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,"684044984","684044984","-584598880","1752021798","1752021798","805395026","1380644349"
AGGREGATE_ISSUES_PER_DECADE_TOP10,"-2054367425","-2054367425","-1933017383","-1933017383","-1933017383","-1933017383","-1933017383"
AGGREGATE_ISSUES_PER_DECADE_TOP100,"755580282","755580282","876930324","1945856693","1945856693","1945856693","1558386607"
AGGREGATE_ISSUES_PER_DECADE_ALL,"755580282","755580282","876930324","1945856693","1945856693","1945856693","1558386607"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,"-629096774","-629096774","-640251082","-1017544455","-732704873","1459359280","-1447490095"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,"954315836","954315836","851681832","1545655353","","498275394","192329286"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,"1584584072","1584584072","-1280533830","1357517340","383768094","1708313348","305779942"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,"-193085515","-193085515","59656762","-1251182676","-1267090696","641154754","1405579834"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,"100583464","100583464","708471316","307263664","1498074215","-1475574653","-2021180053"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,"697650436","697650436","59656762","-1251182676","-1267090696","-113209340","-1454413180"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,"81934384","81934384","1861437711","1861437711","","1861437711","1861437711"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,"81934384","81934384","1861437711","1861437711","1861437711","1861437711","1861437711"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,"81934384","81934384","1861437711","1861437711","","1861437711","1861437711"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,"81934384","81934384","1861437711","1861437711","","1861437711","1861437711"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,"81934384","81934384","1861437711","1861437711","","1861437711","1861437711"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,"81934384","81934384","1861437711","1861437711","1861437711","1861437711","1861437711"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,"81934384","81934384","1861437711","","1861437711","1861437711","1861437711"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,"81934384","81934384","1861437711","1861437711","1861437711","1861437711","1861437711"

